attribute_id,tenant_id,model_id,attr_category,attr_name,attr_value,is_configurable,is_required,display_order,data_type,sort_order,del_flag,create_time
20001,000000,6001,电芯规格,电芯编码,ER14250,1,1,0,STRING,0,0,2026-07-24 15:44:56
20002,000000,6001,电芯规格,电芯型号,ER14250,1,1,1,STRING,1,0,2026-07-24 15:44:56
20003,000000,6001,电芯规格,参考尺寸,Φ14.5×25.0mm,1,1,2,STRING,2,0,2026-07-24 15:44:56
20004,000000,6001,电芯规格,标称电压,3.6V,1,1,3,NUMBER,3,0,2026-07-24 15:44:56
20005,000000,6001,电芯规格,标称容量,1200mAh,1,1,4,STRING,4,0,2026-07-24 15:44:56
20006,000000,6001,电芯规格,最大持续电流,50mA,1,1,5,STRING,5,0,2026-07-24 15:44:56
20007,000000,6001,电芯规格,最大脉冲电流,100mA,1,1,6,STRING,6,0,2026-07-24 15:44:56
20008,000000,6001,电芯规格,工作温度,-40~85℃,1,1,7,STRING,7,0,2026-07-24 15:44:56
20009,000000,6001,电芯规格,最大尺寸,Φ14.5×25.0mm,1,1,8,STRING,8,0,2026-07-24 15:44:56
20010,000000,6001,电芯规格,重量,9g,1,1,9,STRING,9,0,2026-07-24 15:44:56
20011,000000,6001,电芯规格,存储温度,-40~60℃,1,1,10,STRING,10,0,2026-07-24 15:44:56
20012,000000,6001,电芯规格,应用范围,GPS追踪,1,1,11,STRING,11,0,2026-07-24 15:44:56
20013,000000,6001,成品规格,机型号,BP-T1,1,1,0,STRING,0,0,2026-07-24 15:44:56
20014,000000,6001,成品规格,插头线型号,JST-XH-2P,1,1,1,STRING,1,0,2026-07-24 15:44:56
20015,000000,6001,成品规格,插头方向,正向,1,1,2,STRING,2,0,2026-07-24 15:44:56
20016,000000,6001,成品规格,线长,50,1,1,3,NUMBER,3,0,2026-07-24 15:44:56
20017,000000,6001,成品规格,是否绕线,是,1,1,4,BOOLEAN,4,0,2026-07-24 15:44:56
20018,000000,6001,成品规格,是否桶装,是,1,1,5,BOOLEAN,5,0,2026-07-24 15:44:56
20019,000000,6001,成品规格,运输方式,海运,1,1,6,STRING,6,0,2026-07-24 15:44:56
20020,000000,6001,成品规格,产品类型,电池包,1,1,7,STRING,7,0,2026-07-24 15:44:56
20021,000000,6001,成品规格,锂亚电芯数,2,1,1,8,NUMBER,8,0,2026-07-24 15:44:56
20022,000000,6001,成品规格,结构,2串,1,1,9,STRING,9,0,2026-07-24 15:44:56
20023,000000,6001,成品规格,装箱数量,500,1,1,10,NUMBER,10,0,2026-07-24 15:44:56
20024,000000,6001,成品规格,外贴商标,EVE,1,0,11,STRING,11,0,2026-07-24 15:44:56
20025,000000,6001,成品规格,工时,0.5,1,0,12,NUMBER,12,0,2026-07-24 15:44:56
20026,000000,6001,成品规格,近一年出货量,50000,1,1,13,NUMBER,13,0,2026-07-24 15:44:56
20027,000000,6001,防护信息,IP等级,IP68,1,1,0,STRING,0,0,2026-07-24 15:44:56
20028,000000,6002,电芯规格,电芯编码,ER14250,1,1,0,STRING,0,0,2026-07-24 15:44:56
20029,000000,6002,电芯规格,电芯型号,ER14250,1,1,1,STRING,1,0,2026-07-24 15:44:56
20030,000000,6002,电芯规格,参考尺寸,Φ14.5×25.0mm,1,1,2,STRING,2,0,2026-07-24 15:44:56
20031,000000,6002,电芯规格,标称电压,3.6V,1,1,3,NUMBER,3,0,2026-07-24 15:44:56
20032,000000,6002,电芯规格,标称容量,1200mAh,1,1,4,STRING,4,0,2026-07-24 15:44:56
20033,000000,6002,电芯规格,最大持续电流,50mA,1,1,5,STRING,5,0,2026-07-24 15:44:56
20034,000000,6002,电芯规格,最大脉冲电流,100mA,1,1,6,STRING,6,0,2026-07-24 15:44:56
20035,000000,6002,电芯规格,工作温度,-40~85℃,1,1,7,STRING,7,0,2026-07-24 15:44:56
20036,000000,6002,电芯规格,最大尺寸,Φ14.5×25.0mm,1,1,8,STRING,8,0,2026-07-24 15:44:56
20037,000000,6002,电芯规格,重量,9g,1,1,9,STRING,9,0,2026-07-24 15:44:56
20038,000000,6002,电芯规格,存储温度,-40~60℃,1,1,10,STRING,10,0,2026-07-24 15:44:56
20039,000000,6002,电芯规格,应用范围,智能水表,1,1,11,STRING,11,0,2026-07-24 15:44:56
20040,000000,6002,成品规格,机型号,BP-T2,1,1,0,STRING,0,0,2026-07-24 15:44:56
20041,000000,6002,成品规格,插头线型号,Molex-51021-2P,1,1,1,STRING,1,0,2026-07-24 15:44:56
20042,000000,6002,成品规格,插头方向,侧向,1,1,2,STRING,2,0,2026-07-24 15:44:56
20043,000000,6002,成品规格,线长,100,1,1,3,NUMBER,3,0,2026-07-24 15:44:56
20044,000000,6002,成品规格,是否绕线,否,1,1,4,BOOLEAN,4,0,2026-07-24 15:44:56
20045,000000,6002,成品规格,是否桶装,否,1,1,5,BOOLEAN,5,0,2026-07-24 15:44:56
20046,000000,6002,成品规格,运输方式,空运,1,1,6,STRING,6,0,2026-07-24 15:44:56
20047,000000,6002,成品规格,产品类型,电池包,1,1,7,STRING,7,0,2026-07-24 15:44:56
20048,000000,6002,成品规格,锂亚电芯数,1,1,1,8,NUMBER,8,0,2026-07-24 15:44:56
20049,000000,6002,成品规格,结构,单串,1,1,9,STRING,9,0,2026-07-24 15:44:56
20050,000000,6002,成品规格,装箱数量,200,1,1,10,NUMBER,10,0,2026-07-24 15:44:56
20051,000000,6002,成品规格,外贴商标,定制,1,0,11,STRING,11,0,2026-07-24 15:44:56
20052,000000,6002,成品规格,工时,0.3,1,0,12,NUMBER,12,0,2026-07-24 15:44:56
20053,000000,6002,成品规格,近一年出货量,30000,1,1,13,NUMBER,13,0,2026-07-24 15:44:56
20054,000000,6002,防护信息,IP等级,IP68,1,1,0,STRING,0,0,2026-07-24 15:44:56
20055,000000,6003,电芯规格,电芯编码,ER14250,1,1,0,STRING,0,0,2026-07-24 15:44:56
20056,000000,6003,电芯规格,电芯型号,ER14250,1,1,1,STRING,1,0,2026-07-24 15:44:56
20057,000000,6003,电芯规格,参考尺寸,Φ14.5×25.0mm,1,1,2,STRING,2,0,2026-07-24 15:44:56
20058,000000,6003,电芯规格,标称电压,3.6V,1,1,3,NUMBER,3,0,2026-07-24 15:44:56
20059,000000,6003,电芯规格,标称容量,1200mAh,1,1,4,STRING,4,0,2026-07-24 15:44:56
20060,000000,6003,电芯规格,最大持续电流,50mA,1,1,5,STRING,5,0,2026-07-24 15:44:56
20061,000000,6003,电芯规格,最大脉冲电流,100mA,1,1,6,STRING,6,0,2026-07-24 15:44:56
20062,000000,6003,电芯规格,工作温度,-40~85℃,1,1,7,STRING,7,0,2026-07-24 15:44:56
20063,000000,6003,电芯规格,最大尺寸,Φ14.5×25.0mm,1,1,8,STRING,8,0,2026-07-24 15:44:56
20064,000000,6003,电芯规格,重量,9g,1,1,9,STRING,9,0,2026-07-24 15:44:56
20065,000000,6003,电芯规格,存储温度,-40~60℃,1,1,10,STRING,10,0,2026-07-24 15:44:56
20066,000000,6003,电芯规格,应用范围,安防报警,1,1,11,STRING,11,0,2026-07-24 15:44:56
20067,000000,6003,成品规格,机型号,BP-BARE,1,1,0,STRING,0,0,2026-07-24 15:44:56
20068,000000,6003,成品规格,是否绕线,否,1,1,1,BOOLEAN,1,0,2026-07-24 15:44:56
20069,000000,6003,成品规格,是否桶装,否,1,1,2,BOOLEAN,2,0,2026-07-24 15:44:56
20070,000000,6003,成品规格,运输方式,陆运,1,1,3,STRING,3,0,2026-07-24 15:44:56
20071,000000,6003,成品规格,产品类型,裸电芯包,1,1,4,STRING,4,0,2026-07-24 15:44:56
20072,000000,6003,成品规格,锂亚电芯数,1,1,1,5,NUMBER,5,0,2026-07-24 15:44:56
20073,000000,6003,成品规格,结构,单颗,1,1,6,STRING,6,0,2026-07-24 15:44:56
20074,000000,6003,成品规格,装箱数量,1000,1,1,7,NUMBER,7,0,2026-07-24 15:44:56
